date,away,home,exp_margin,exp_total,p_home,spread_line,total_line,p_home_covers,p_over,wind,roof,eff_n_min,thin
2026-09-09,NE,SEA,6.4186754181108086,40.598051966110845,0.7012087606059985,3.5,44.5,0.5948486947859866,0.3788484401816362,,outdoors,15.95002557536487,False
2026-09-10,SF,LA,2.9573299027814883,45.62427391778837,0.5960804434623028,3.5,48.5,0.48220115701527433,0.41006856634457334,,dome,15.622313246523165,False
2026-09-13,CHI,CAR,-0.269353474109149,44.26760073196532,0.4911633613001295,-2.5,46.5,0.5727780250558927,0.429948956121292,,outdoors,14.593198430771096,False
2026-09-13,TB,CIN,1.0353272780727885,48.72949438376695,0.5339276028555967,3.5,51.5,0.41968558632795494,0.41330579449120064,,outdoors,14.106691717462986,False
2026-09-13,NO,DET,5.482625446485695,44.469169197927584,0.673968556297176,7.0,48.5,0.45034456312518467,0.37497826483156516,,dome,14.015889746913704,False
2026-09-13,BUF,HOU,2.3802962062700175,43.084464092727195,0.5776004639514327,-1.5,44.5,0.6251824707081071,0.45544381111644616,,,15.937471395128217,False
2026-09-13,BAL,IND,0.6715133570365523,47.527802125732016,0.5220208447075182,-3.5,48.5,0.6342273572084508,0.4693648361474182,,,14.01080539413513,False
2026-09-13,CLE,JAX,6.165843735886881,40.4071757585927,0.6939531144379842,7.5,40.5,0.45631463026322966,0.49707213834792385,,outdoors,14.147879347809123,False
2026-09-13,ATL,PIT,4.198590331204361,43.47032906513928,0.6350646478518382,3.0,41.5,0.5392615948951843,0.5618982014902764,,outdoors,14.066936821602798,False
2026-09-13,NYJ,TEN,2.399268462719405,45.00156967344034,0.5782110278519914,3.0,38.5,0.48029829458166445,0.6963897591357261,,outdoors,14.037769853735135,False
2026-09-13,ARI,LAC,5.30893562752761,43.46120651733762,0.6688042626503304,11.5,46.5,0.3053196237996522,0.4050637744904102,,dome,14.041500522005599,False
2026-09-13,MIA,LV,0.21497385634110344,42.56950203448672,0.5070528241826983,3.5,40.5,0.39351672734874277,0.5649866960716532,,dome,14.050665621358755,False
2026-09-13,GB,MIN,2.6406293541085333,39.78339598464933,0.5859615976732455,-1.5,45.5,0.6332715623325078,0.3256409950704213,,dome,14.354091494500192,False
2026-09-13,WAS,PHI,7.034017122216003,43.90853803350085,0.7185322180727046,4.5,47.5,0.5825420088962097,0.38822124898017485,,outdoors,14.719064789568579,False
2026-09-13,DAL,NYG,1.5453407953532015,48.271140665438764,0.550565748011756,-2.5,48.5,0.6303173935411046,0.492781649378232,,outdoors,14.06674196105097,False
2026-09-14,DEN,KC,1.7352774062200353,38.41185032292693,0.5567409713441304,3.0,42.5,0.45857974186779,0.37326106631028,,outdoors,15.308223005599189,False
