date,away,home,exp_margin,exp_total,p_home,spread_line,total_line,p_home_covers,p_over,wind,roof,eff_n_min,thin
2026-08-06,Los Angeles Sparks,Minnesota Lynx,11.419975674120622,175.5566848790428,0.8119634861464098,,,,,,,50.40362446473624,False
2026-08-06,Toronto Tempo,Portland Fire,2.557530315200296,186.567417419266,0.5785684358160283,,,,,,,26.575533543351373,False
2026-08-06,Las Vegas Aces,Indiana Fever,0.3965328980753071,178.96870106825844,0.5122595654673131,,,,,,,56.14319731858042,False
2026-08-07,Golden State Valkyries,Dallas Wings,-1.6521572677515337,162.14411270063138,0.449051673387395,,,,,,,44.445587024640304,False
2026-08-07,Atlanta Dream,Washington Mystics,-3.0389798603533933,160.74415420657402,0.40689117541331554,,,,,,,50.59959265314399,False
2026-08-07,Phoenix Mercury,Connecticut Sun,-1.9638425254704401,162.0145919351658,0.4395082164773832,,,,,,,54.278742198904936,False
2026-08-08,Las Vegas Aces,Minnesota Lynx,3.7887959784136456,171.28140662877584,0.6154938732185111,,,,,,,58.30385645400611,False
2026-08-08,Seattle Storm,Portland Fire,-0.8730075879561241,174.28590162443646,0.47302565394451457,,,,,,,26.575533543351373,False
2026-08-08,Indiana Fever,Chicago Sky,-4.793928091813058,177.15107340090844,0.3551049116783884,,,,,,,52.73992253491807,False
2026-08-09,Golden State Valkyries,Los Angeles Sparks,-4.534096269705387,165.4240600434115,0.36263104954604336,,,,,,,44.445587024640304,False
2026-08-09,Dallas Wings,Minnesota Lynx,8.538036672166754,172.27673753626266,0.7459431723772161,,,,,,,52.60507495531396,False
2026-08-09,Las Vegas Aces,New York Liberty,0.6222647699397612,172.5720023195271,0.5192340651819153,,,,,,,57.418429665475315,False
2026-08-09,Phoenix Mercury,Washington Mystics,0.40373387598684474,160.60414071688047,0.5124821253220226,,,,,,,50.59959265314399,False
2026-08-10,Toronto Tempo,Atlanta Dream,9.777130979883395,177.74505005501854,0.7757203800744301,,,,,,,26.71208583914967,False
2026-08-10,Chicago Sky,Seattle Storm,4.410611888363633,167.61527355117082,0.6337732696100037,,,,,,,52.73992253491807,False
2026-08-11,New York Liberty,Indiana Fever,1.7450504523745138,177.77123133044626,0.5537959541117621,,,,,,,56.14319731858042,False
2026-08-11,Washington Mystics,Las Vegas Aces,8.503864034434343,164.7135211649058,0.7450935551560224,,,,,,,50.59959265314399,False
2026-08-11,Phoenix Mercury,Los Angeles Sparks,-0.6943641095247415,173.93536985958085,0.47853939953526997,,,,,,,50.40362446473624,False
