start,home,away,model_home,margin,bid,ask,spread,mkt_home,bat_h,bat_a,bowl_h,bowl_a
2026-08-06 13:30:00+00:00,London Spirit,MI London,0.3849281552484265,-7.606634193209088,0.2,0.21,0.009999999999999981,0.20500000000000002,4.381000860623143,9.49093585823348,5.117573554915862,7.614272750514614
2026-08-07 13:30:00+00:00,Birmingham Phoenix,Sunrisers Leeds,0.4475732522148833,-3.4266679306796797,0.39,0.41,0.019999999999999962,0.4020100502512563,2.4801828683620717,13.690758866084114,7.293324318134915,-0.49058374890744716
2026-08-08 09:30:00+00:00,MI London,Trent Rockets,0.5435345642434454,2.842903918773975,0.36,0.57,0.20999999999999996,0.5081967213114753,9.49093585823348,7.551414355997673,7.614272750514614,6.710890333976445
2026-08-08 13:00:00+00:00,Southern Brave,Manchester Super Giants,0.5317796757408605,2.073351041468562,0.45,0.47,0.019999999999999962,0.46464646464646464,0.33184012534522367,5.023558057992623,9.92943197982871,3.1643630057127488
2026-08-09 09:30:00+00:00,Sunrisers Leeds,Welsh Fire,0.5024807996724128,0.16168054967904588,0.21,0.64,0.43000000000000005,0.42713567839195976,13.690758866084114,7.749413241273295,-0.49058374890744716,5.289081326224325
2026-08-09 13:00:00+00:00,London Spirit,Birmingham Phoenix,0.4957815283620491,-0.2749327709579821,0.25,0.7,0.44999999999999996,0.4567307692307692,4.381000860623143,2.4801828683620717,5.117573554915862,7.293324318134915
2026-08-10 13:30:00+00:00,Trent Rockets,Southern Brave,0.5611501367173726,4.001032584800185,0.19,0.74,0.55,0.47208121827411165,7.551414355997673,0.33184012534522367,6.710890333976445,9.92943197982871
2026-08-11 13:30:00+00:00,Manchester Super Giants,Sunrisers Leeds,0.4235660244725123,-5.0122540534712945,0.32,0.74,0.42,0.5326633165829145,5.023558057992623,13.690758866084114,3.1643630057127488,-0.49058374890744716
2026-08-12 10:00:00+00:00,Welsh Fire,London Spirit,0.5541489557507736,3.539920151958616,0.48,0.76,0.28,0.5438596491228069,7.749413241273295,4.381000860623143,5.289081326224325,5.117573554915862
2026-08-12 13:30:00+00:00,Birmingham Phoenix,MI London,0.3889761579250933,-7.331701422251107,0.26,0.55,0.29000000000000004,0.413265306122449,2.4801828683620717,9.49093585823348,7.293324318134915,7.614272750514614
