host,visitor,venue,p_home,p_draw,p_away,xg_h,xg_a,p_over25,p_btts,score,eff_n_min
Inter Miami,Atl. San Luis,"Nu Stadium, Miami",0.696761979511673,0.1636146457983309,0.13962337468999642,2.782271674532879,1.222235891725596,0.762556411285252,0.6647050237377916,2-1,52.778459179615716
Orlando City,Monterrey,"Inter&Co Stadium, Orlando",0.4208748238980418,0.2422974038572844,0.3368277722446738,1.7061262646458495,1.5087107432623272,0.6231841588883295,0.6423014704745346,1-1,54.33238160479069
Nashville SC,Club Leon,"Geodis Park, Nashville",0.6081270808082514,0.23714457215355134,0.15472834703819713,1.7915054055232227,0.7852502984948728,0.4757195449720069,0.45837706861750943,1-0,50.764499532447914
FC Dallas,Queretaro,Texas Health Mansfield Stadium,0.5782476780092586,0.24694548129637958,0.17480684069436167,1.720030814064729,0.8363121641657238,0.4705562123719151,0.4705144191110286,1-0,50.30691091817726
Toluca,Seattle Sounders,"Estadio Nemesio Diez, Toluca",0.45217920667209344,0.2734330767400724,0.27438771658783406,1.4603242330301998,1.082241378303567,0.46705824417428726,0.5135636526477856,1-1,54.679206829333204
Los Angeles FC,Guadalajara Chivas,"BMO Stadium, Los Angeles",0.5281895556451881,0.26296030801231435,0.20885013634249783,1.5872036341662281,0.9044704562923228,0.4540493869988152,0.47915326520546864,1-0,55.365921298007706
