start,home,away,model_home,margin,bid,ask,spread,mkt_home,bat_h,bat_a,bowl_h,bowl_a
2026-08-10 13:30:00+00:00,Trent Rockets,Southern Brave,0.5487254346392183,3.183486970692023,0.52,0.53,0.010000000000000009,0.5223880597014926,9.264121574080791,2.863510356427623,6.704471472945498,9.921595719906643
2026-08-11 13:30:00+00:00,Manchester Super Giants,Sunrisers Leeds,0.41048213364575936,-5.883928078826574,0.43,0.44,0.010000000000000009,0.4393939393939394,7.044052767110122,16.580007024203674,3.1618361567980187,-0.4901900214689591
2026-08-12 10:00:00+00:00,Welsh Fire,London Spirit,0.5704557066193319,4.615896396716126,0.53,0.59,0.05999999999999994,0.5544554455445545,10.857221198932086,6.408500952729142,5.280978519071171,5.113802368557989
2026-08-12 13:30:00+00:00,Birmingham Phoenix,MI London,0.39144536656271817,-7.164401011498462,0.34,0.36,0.019999999999999962,0.3517587939698492,4.558535755140332,11.399517565629868,7.2832035517624405,7.606622752771367
