series,event,when,match,leg,model,bid,ask,spread,depth,fee,ev,eff_n_min,book_sum,tradeable,thin_data
KXLALIGAGAME,KXLALIGAGAME-26AUG16ESPLEV,2026-08-16T20:00,Espanol v Levante,HOME,0.45776367147614677,0.45,0.48,0.02999999999999997,1865.9499999999998,0.017472,-0.039708328523853184,54.683447296059725,1.07,True,False
KXLALIGAGAME,KXLALIGAGAME-26AUG16ESPLEV,2026-08-16T20:00,Espanol v Levante,DRAW,0.26119486812169473,0.26,0.32,0.06,2823.11,0.015232,-0.0740371318783053,54.683447296059725,1.07,True,False
KXLALIGAGAME,KXLALIGAGAME-26AUG16ESPLEV,2026-08-16T20:00,Espanol v Levante,AWAY,0.2810414604021584,0.23,0.27,0.04000000000000001,8011.679999999999,0.013797000000000002,-0.002755539597841637,54.683447296059725,1.07,True,False
KXLALIGAGAME,KXLALIGAGAME-26AUG16SANVIL,2026-08-16T18:00,Santander v Villarreal,HOME,0.29837059826183226,0.25,0.3,0.04999999999999999,1826.76,0.0147,-0.01632940173816772,53.948730026292175,1.05,True,False
KXLALIGAGAME,KXLALIGAGAME-26AUG16SANVIL,2026-08-16T18:00,Santander v Villarreal,DRAW,0.2073594470160775,0.24,0.29,0.04999999999999999,930.81,0.014413,-0.09705355298392247,53.948730026292175,1.05,True,False
KXLALIGAGAME,KXLALIGAGAME-26AUG16SANVIL,2026-08-16T18:00,Santander v Villarreal,AWAY,0.49426995472209,0.44,0.46,0.020000000000000018,910.04,0.017388000000000004,0.016881954722090014,53.948730026292175,1.05,True,False
KXLALIGAGAME,KXLALIGAGAME-26AUG15SEVRVC,2026-08-15T22:30,Sevilla v Vallecano,HOME,0.42431916121203617,0.41,0.43,0.020000000000000018,3665.2200000000003,0.017157000000000002,-0.0228378387879638,53.853772473020456,1.03,True,False
KXLALIGAGAME,KXLALIGAGAME-26AUG15SEVRVC,2026-08-15T22:30,Sevilla v Vallecano,DRAW,0.2874099511555791,0.29,0.3,0.010000000000000009,3555.7200000000003,0.0147,-0.027290048844420912,53.853772473020456,1.03,True,False
KXLALIGAGAME,KXLALIGAGAME-26AUG15SEVRVC,2026-08-15T22:30,Sevilla v Vallecano,AWAY,0.28827088763238473,0.27,0.3,0.02999999999999997,4121.860000000001,0.0147,-0.026429112367615255,53.853772473020456,1.03,True,False
KXLALIGAGAME,KXLALIGAGAME-26AUG15ALAGET,2026-08-15T20:30,Alaves v Getafe,HOME,0.39531167157306385,0.38,0.41,0.02999999999999997,4519.110000000001,0.016933000000000004,-0.03162132842693613,53.81211168461757,1.02,True,False
KXLALIGAGAME,KXLALIGAGAME-26AUG15ALAGET,2026-08-15T20:30,Alaves v Getafe,DRAW,0.32957023086300685,0.33,0.36,0.02999999999999997,2878.57,0.016128,-0.04655776913699314,53.81211168461757,1.02,True,False
KXLALIGAGAME,KXLALIGAGAME-26AUG15ALAGET,2026-08-15T20:30,Alaves v Getafe,AWAY,0.2751180975639294,0.24,0.25,0.010000000000000009,2711.0,0.013125000000000001,0.011993097563929408,53.81211168461757,1.02,True,False
KXBUNDESLIGA2GAME,KXBUNDESLIGA2GAME-26AUG09STPSGF,2026-08-09T14:30,St Pauli v Greuther Furth,HOME,0.5413705471212189,0.51,0.53,0.020000000000000018,4365.387,0.017437,-0.006066452878781124,47.36759207290433,1.03,True,False
KXBUNDESLIGA2GAME,KXBUNDESLIGA2GAME-26AUG09STPSGF,2026-08-09T14:30,St Pauli v Greuther Furth,DRAW,0.2557073059212566,0.22,0.25,0.03,4915.7,0.013125000000000001,-0.007417694078743379,47.36759207290433,1.03,True,False
KXBUNDESLIGA2GAME,KXBUNDESLIGA2GAME-26AUG09STPSGF,2026-08-09T14:30,St Pauli v Greuther Furth,AWAY,0.20292214695752447,0.22,0.25,0.03,3922.29,0.013125000000000001,-0.060202853042475524,47.36759207290433,1.03,True,False
