date,match,team,side,model,bid,ask,spread,depth,ev,exp_margin,exp_total,tradeable
2026-08-08,Indiana Fever @ Chicago Sky,Chicago Sky,HOME,0.35744384571371557,0.32,0.33,0.010000000000000009,135049.7568,0.011966845713715554,-4.687633586341491,177.08672930966148,True
2026-08-08,Indiana Fever @ Chicago Sky,Indiana Fever,AWAY,0.6425561542862844,0.67,0.68,0.010000000000000009,90687.27649999999,-0.05267584571371562,-4.687633586341491,177.08672930966148,True
2026-08-08,Las Vegas Aces @ Minnesota Lynx,Minnesota Lynx,HOME,0.6073735063528429,0.62,0.63,0.010000000000000009,134111.95390000002,-0.038943493647157074,3.4965433237673267,171.01821248035773,True
2026-08-08,Las Vegas Aces @ Minnesota Lynx,Las Vegas Aces,AWAY,0.39262649364715707,0.37,0.38,0.010000000000000009,174982.66509999998,-0.003865506352842933,3.4965433237673267,171.01821248035773,True
2026-08-08,Seattle Storm @ Portland Fire,Portland Fire,HOME,0.48280656014533435,0.51,0.52,0.010000000000000009,88087.3953,-0.05466543985466564,-0.5532119362753605,174.23565199565098,True
2026-08-08,Seattle Storm @ Portland Fire,Seattle Storm,AWAY,0.5171934398546656,0.48,0.49,0.010000000000000009,143494.2357,0.009700439854665628,-0.5532119362753605,174.23565199565098,True
2026-08-09,Dallas Wings @ Minnesota Lynx,Minnesota Lynx,HOME,0.7480498483186548,0.69,0.72,0.030000000000000027,31.617200000000004,0.013937848318654867,8.5766632309102,172.66021560587143,False
2026-08-09,Dallas Wings @ Minnesota Lynx,Dallas Wings,AWAY,0.25195015168134516,0.3,0.34,0.040000000000000036,259.837,-0.10375784831865487,8.5766632309102,172.66021560587143,False
2026-08-09,Golden State Valkyries @ Los Angeles Sparks,Los Angeles Sparks,HOME,0.35957885772671183,0.33,0.34,0.010000000000000009,14056.7038,0.003870857726711776,-4.614297031670603,165.5957778808724,True
2026-08-09,Golden State Valkyries @ Los Angeles Sparks,Golden State Valkyries,AWAY,0.6404211422732882,0.66,0.67,0.010000000000000009,8358.783300000001,-0.04505585772671187,-4.614297031670603,165.5957778808724,True
2026-08-09,Las Vegas Aces @ New York Liberty,New York Liberty,HOME,0.5183978293099933,0.57,0.62,0.050000000000000044,185.0254,-0.11809417069000666,0.5919906797518877,172.54795049136928,False
2026-08-09,Las Vegas Aces @ New York Liberty,Las Vegas Aces,AWAY,0.48160217069000666,0.4,0.42,0.019999999999999962,95.69760000000001,0.0445501706900067,0.5919906797518877,172.54795049136928,False
2026-08-09,Phoenix Mercury @ Washington Mystics,Washington Mystics,HOME,0.5249952827207803,0.51,0.52,0.010000000000000009,10761.327099999999,-0.012476717279219687,0.8045198197818024,160.80680161118494,True
2026-08-09,Phoenix Mercury @ Washington Mystics,Phoenix Mercury,AWAY,0.47500471727921967,0.47,0.48,0.010000000000000009,6129.2083,-0.022467282720780316,0.8045198197818024,160.80680161118494,True
2026-08-10,Chicago Sky @ Seattle Storm,Seattle Storm,HOME,0.6325163414003299,0.38,0.44,0.06,71.4834,0.1752683414003299,4.344057217086387,167.8605575898127,False
2026-08-10,Chicago Sky @ Seattle Storm,Chicago Sky,AWAY,0.36748365859967014,0.54,0.65,0.10999999999999999,184.9036,-0.2984413414003299,4.344057217086387,167.8605575898127,False
2026-08-10,Toronto Tempo @ Atlanta Dream,Atlanta Dream,HOME,0.783902876450919,0.72,0.81,0.09000000000000008,147.7518,-0.036870123549081,10.079027947549392,177.5691472022645,False
2026-08-10,Toronto Tempo @ Atlanta Dream,Toronto Tempo,AWAY,0.21609712354908095,0.21,0.27,0.060000000000000026,139.7868,-0.06769987645091907,10.079027947549392,177.5691472022645,False
