ts,gamePk,match,inning,half,outs,score,model_home,model_raw,mkt_home,home_bid,home_ask,diff
2026-08-06T18:46:36+00:00,824804,Los Angeles Angels @ Baltimore Orioles,7,top,2,4-1,0.12381931064396114,0.06675785195560394,0.1485148514851485,0.14,0.15,-0.02469554084118737
2026-08-06T18:46:36+00:00,824481,Athletics @ Cincinnati Reds,7,bottom,1,3-6,0.959014070971022,0.9824883668928469,0.96,0.95,0.96,-0.0009859290289779832
2026-08-06T18:46:36+00:00,824401,New York Mets @ Cleveland Guardians,5,bottom,3,6-5,0.3703129400312469,0.31482451374629705,0.36633663366336633,0.36,0.37,0.003976306367880544
2026-08-06T18:46:36+00:00,823754,Pittsburgh Pirates @ Milwaukee Brewers,3,top,0,0-1,0.6847972522709309,0.7164513270175333,0.6831683168316831,0.68,0.69,0.0016289354392478028
2026-08-06T18:46:36+00:00,824664,Toronto Blue Jays @ Chicago Cubs,2,top,3,1-0,0.48751731744752885,0.46248999486252784,0.43564356435643564,0.43,0.44,0.05187375309109321
2026-08-06T19:14:15+00:00,824804,Los Angeles Angels @ Baltimore Orioles,8,bottom,2,4-1,0.037682412702908306,0.013233490455848693,0.0594059405940594,0.05,0.06,-0.021723527891151097
2026-08-06T19:14:15+00:00,824481,Athletics @ Cincinnati Reds,9,top,0,3-6,0.9834195650660524,0.9947303438352532,0.9705882352941176,0.98,0.99,0.012831329771934796
2026-08-06T19:14:15+00:00,824401,New York Mets @ Cleveland Guardians,7,top,1,6-5,0.3671057786847894,0.310960478264535,0.24752475247524752,0.24,0.25,0.11958102620954186
2026-08-06T19:14:15+00:00,823754,Pittsburgh Pirates @ Milwaukee Brewers,4,bottom,0,2-2,0.6285430801090242,0.6458638496209113,0.5742574257425742,0.57,0.58,0.05428565436644994
2026-08-06T19:14:15+00:00,824664,Toronto Blue Jays @ Chicago Cubs,3,bottom,3,1-0,0.41640235489071525,0.3715677988420366,0.37623762376237624,0.37,0.38,0.040164731128339015
2026-08-06T19:16:45+00:00,824804,Los Angeles Angels @ Baltimore Orioles,8,bottom,2,4-1,0.037682412702908306,0.013233490455848693,0.039603960396039604,0.03,0.04,-0.001921547693131298
2026-08-06T19:16:45+00:00,824481,Athletics @ Cincinnati Reds,9,top,1,3-6,0.9930791313504531,0.9983294014404464,0.9801980198019802,0.98,0.99,0.012881111548472934
2026-08-06T19:16:45+00:00,824401,New York Mets @ Cleveland Guardians,7,top,2,6-5,0.38999091998535146,0.3387858907070008,0.14563106796116504,0.1,0.15,0.24435985202418642
2026-08-06T19:16:45+00:00,823754,Pittsburgh Pirates @ Milwaukee Brewers,4,bottom,3,2-2,0.5645556771523939,0.5630480817516091,0.5247524752475248,0.52,0.53,0.03980320190486908
2026-08-06T19:16:45+00:00,824664,Toronto Blue Jays @ Chicago Cubs,4,top,1,1-0,0.4346302716481167,0.3945516494618717,0.39603960396039606,0.39,0.4,0.038590667687720626
2026-08-06T19:19:16+00:00,824804,Los Angeles Angels @ Baltimore Orioles,9,top,0,4-1,0.02079488613619902,0.006000866235352217,0.039603960396039604,0.03,0.04,-0.018809074259840585
2026-08-06T19:19:16+00:00,824481,Athletics @ Cincinnati Reds,9,top,1,3-6,0.9930791313504531,0.9983294014404464,0.9702970297029703,0.96,0.98,0.022782101647482844
2026-08-06T19:19:16+00:00,824401,New York Mets @ Cleveland Guardians,7,top,3,9-5,0.050282947108573235,0.019489417554586958,0.06930693069306931,0.06,0.07,-0.019023983584496078
2026-08-06T19:19:16+00:00,823754,Pittsburgh Pirates @ Milwaukee Brewers,5,top,0,2-2,0.5645556771523939,0.5630480817516091,0.5247524752475248,0.52,0.53,0.03980320190486908
2026-08-06T19:19:16+00:00,824664,Toronto Blue Jays @ Chicago Cubs,4,top,1,1-0,0.4346302716481167,0.3945516494618717,0.3564356435643564,0.35,0.36,0.07819462808376026
2026-08-06T19:21:46+00:00,824804,Los Angeles Angels @ Baltimore Orioles,9,top,3,4-1,0.028683502672143903,0.009195876805149498,0.039603960396039604,0.03,0.04,-0.010920457723895702
2026-08-06T19:21:46+00:00,824481,Athletics @ Cincinnati Reds,9,top,2,5-6,0.9075638049596024,0.9475702595927212,0.98,0.97,0.98,-0.07243619504039756
2026-08-06T19:21:46+00:00,824401,New York Mets @ Cleveland Guardians,7,bottom,1,9-5,0.03743498671555834,0.013117404250428896,0.0594059405940594,0.05,0.06,-0.021970953878501065
2026-08-06T19:21:46+00:00,823754,Pittsburgh Pirates @ Milwaukee Brewers,5,top,2,2-2,0.6073780273489896,0.6186786451301709,0.5742574257425742,0.57,0.58,0.03312060160641539
2026-08-06T19:21:46+00:00,824664,Toronto Blue Jays @ Chicago Cubs,4,top,1,1-0,0.4346302716481167,0.3945516494618717,0.3564356435643564,0.35,0.36,0.07819462808376026
2026-08-06T19:24:16+00:00,824804,Los Angeles Angels @ Baltimore Orioles,9,bottom,0,4-1,0.028683502672143903,0.009195876805149498,0.039603960396039604,0.03,0.04,-0.010920457723895702
